label,precision,recall,f1_score
absence,1.0,0.9855708908406524,0.9927330173775671
standing,0.9910044977511244,1.0,0.9954819277108434
sitting_by_bed,1.0,1.0,1.0
sitting_on_bed,0.9990842490842491,1.0,0.9995419147961521
lying_no_cover,0.9810874704491725,1.0,0.9904534606205251
lying_with_cover,1.0,1.0,1.0
overall,0.9958029197080291,0.9958029197080291,0.9963683817509853
