label,precision,recall,f1_score
absence,0.9723320158102767,0.9571984435797666,0.9647058823529412
standing,0.9541284403669725,0.9369369369369369,0.9454545454545454
sitting_by_bed,1.0,1.0,1.0
sitting_on_bed,1.0,1.0,1.0
lying_no_cover,0.9766990291262136,1.0,0.9882121807465619
lying_with_cover,1.0,1.0,1.0
overall,0.9842312746386334,0.9842312746386334,0.9830620964259108
