experiment,type,accuracy,avg_precision,avg_recall,avg_f1
office0_lcx_1_cross_user,cross_user,0.8735632183908046,0.9020305125319895,0.8967973151617947,0.8808019274239792
office0_sf_0_cross_user,cross_user,0.9931123547137323,0.9947352801519468,0.9892102060969664,0.991842549463283
hall5_cross_env,cross_env,0.9842312746386334,0.9838599142172438,0.9823558967527838,0.9830621014256747
office2_0_cross_env,cross_env,0.9958029197080291,0.9951960362140909,0.997595148473442,0.9963683867508478
