label,precision,recall,f1_score
absence,0.9934747145187602,0.8434903047091413,0.9123595505617977
standing,1.0,0.9823008849557522,0.9910714285714286
sitting_by_bed,0.6824742268041237,1.0,0.8112745098039216
sitting_on_bed,1.0,0.5661971830985916,0.7230215827338129
lying_no_cover,0.7575107296137339,0.988795518207283,0.8578371810449574
lying_with_cover,0.9787234042553191,1.0,0.989247311827957
overall,0.8735632183908046,0.8735632183908046,0.8808019225379269
